,pasaporte,nombre,edad,sexo,nacionalidad,password,id_buque,id_inst
0,N22415818,Oswaldo Zedillo,73,hombre,SALVADOREÑA,8m3WpPr0U3,120,-1
1,S96030318,Aldo Ibarra,32,mujer,SALVADOREÑA,lBvWFsICKs,9,-1
2,R99245213,Micaela Padron,69,mujer,ITALIANA,tHKavGSTPR,10,-1
3,M17084370,Manuel Castro,27,mujer,ARGENTINA,07Ip4XJycZ,28,-1
4,L37265580,Alicia Cristal Ocasio Ramirez,42,mujer,SALVADOREÑA,dYnYpyQxYy,216,-1
5,F96333768,Rosario Arce Montaño,34,hombre,GUYANESA,aFx9SNigMk,224,-1
6,G86572171,Flavio Aguirre,44,mujer,YUGOSLAVA,qtCyCNZovw,239,-1
7,E99654323,Cristal Gaona Vazquez,60,hombre,LIBIA,cVRcYiC7RA,181,-1
8,O26876875,Itzel Madrid Tello,89,mujer,BIRMANA,aklVSrRaxT,209,-1
9,E21346302,Nancy Perales,19,hombre,GUINEA,WtPVRuUQlD,23,-1
10,I59647599,Eugenio Villanueva,23,mujer,TURCA,SvAtbkfu5l,123,-1
11,S86623127,Jose Maria Varela,46,hombre,GAMBIANA,oRwsguxegg,94,-1
12,W43342581,Ignacio Almanza Velasquez,22,mujer,SINGAPORENSE,rxNRaJCW5s,196,-1
13,O49324787,Lourdes Mendez,87,mujer,TANZANIANA,aP0F3pKH4w,21,-1
14,Z12618001,Nayeli Bernardo Tamez Calderon,91,hombre,ESTADOUNIDENSE,kfMYTSMpu7,110,-1
15,S67099414,Emiliano Gerardo Muñoz,99,hombre,AUSTRALIANA,TREazwu6An,63,-1
16,H93386941,Horacio Graciela Quesada,70,mujer,ZAMBIANA,E5vnEEMXS8,71,-1
17,W70014015,Sofia Monica Mayorga,69,hombre,SOVIETICA UCRANIANA,goV2oioyXM,240,-1
18,U56669457,Carla Jaramillo Garibay,68,hombre,SUDAFRICANA,1TEMr21R01,97,-1
19,F44457948,Estela Marroquin Ortiz,98,mujer,ALEMANA,np6h2L9rfk,129,-1
20,O42187583,Ilse Alejandra Bustos,54,mujer,NIGERINA,nCLqHCOfnh,30,-1
21,E20392152,Minerva Barrios Concepcion,68,mujer,AUSTRALIANA,X7vleF0k8P,91,-1
22,G85401525,Elisa Cortez,73,mujer,ISRAELI,crUQg9MjX8,20,-1
23,F54286063,Juan Carlos Uriel Romero,38,hombre,BURKINA FASO,0j6wP7oq1a,117,-1
24,L20402492,Ariadna Gaona Ledesma,93,hombre,TUNECINA,k66FgivUgA,49,-1
25,Y67957951,Susana Caldera,74,mujer,GUINEA,pGgQlRUQ4M,68,-1
26,T64786536,Estefania Ocampo Raya,41,mujer,ZAMBIANA,P90DXYBLBP,57,-1
27,L16315884,Augusto Carlos Gallardo,31,mujer,INDONESA,NjawnHvlnI,20,-1
28,A41577310,Jose Luis Karla Valverde,26,hombre,KIRGUISTAN,9rELCviWtV,72,-1
29,I91362274,Maria Jose Perales,96,mujer,ISRAELI,wqAl4AQSAX,66,-1
30,Z44372972,Ofelia Navarro Davila,68,hombre,BHUTANESA,H1ij2orYYP,6,-1
31,J50508589,Lucia Palomo Olivera,35,hombre,NAMIBIANA,vsBrUjk1Re,118,-1
32,K52943396,Emilio Asuncion Luevano,91,mujer,LIBANESA,bqZJItPXV4,148,-1
33,L81362177,Soledad Beltran,47,hombre,PORTUGUESA,VF57wqK1pF,86,-1
34,O65003049,Dulce Omar Rivas,67,mujer,GUINEA,F32T0xGzeT,25,-1
35,G94389129,Felix Hernandes,26,mujer,BULGARA,bAwsxsJZ0m,121,-1
36,U87952200,Maria Teresa Samuel Segovia,82,hombre,RWANDESA,PpiyC47yJx,221,-1
37,T60754009,Ricardo Julia Archuleta,37,mujer,GABONESA,xHsZkty2My,114,-1
38,O63088677,Liliana Juan Carlos Padron,68,hombre,ESTONIA,IhWdj40FgB,86,-1
39,X35740583,Isabel Estefania Olmos Cordero,16,mujer,GUINEA ECUATORIANA,fiBQ4zYaHA,110,-1
40,P90936714,Isabela Gil Espinosa,40,hombre,TANZANIANA,D2ehm8aVzL,162,-1
41,S90584294,Isaac Armas Tejada,59,hombre,OMANESA,IieH3DZcvC,189,-1
42,E98870300,Pilar Meraz Reynoso,65,hombre,ITALIANA,YBVVII1pAJ,112,-1
43,J48004489,Bruno Indira Olivas Galvon,64,mujer,LITUANIA ,ta4SPNraOt,54,-1
44,N34722023,Victoria Jorge Arredondo Madrigal,28,mujer,AUSTRIACA,5uABjDz9Ac,138,-1
45,B33581793,Irene Villagomez Velazquez,76,hombre,CHIPRIOTA,muIAqyOfEZ,36,-1
46,I26539190,Sessa Ordoñez,61,hombre,COLOMBIANA,sOjYnRA8l6,145,-1
47,Y82472204,Ana Noelia Barrios,20,mujer,KENIANA,tRb0tI4d71,156,-1
48,W96255468,Jesus Henriquez,65,mujer,SURINAMENSE,KWVrcekuYB,97,-1
49,Q28903565,Sergio Gil,65,hombre,HAITIANA,ULQYTasc0d,167,-1
50,D12747000,Augusto Cordero Jasso,64,hombre,SWAZI,E1LOCX79TL,98,-1
51,D84811007,Jose Eduardo Javier Casillas,51,hombre,REINO UNIDO,ZZ4nrmt02K,130,-1
52,A59785418,Mercedes Martinez,86,hombre,NAMIBIANA,r77Oq3cewG,58,-1
53,Q42575194,Rosalia Rocio Vazquez Granados,55,hombre,GUYANESA,CmW1TmOPCd,210,-1
54,D26597294,Santiago Guillen Esquibel,21,mujer,BURUNDESA,rM4m6Keojc,172,-1
55,S70684322,Augusto Margarita Crespo,18,hombre,SUIZA,AXnBSQwICP,178,-1
56,Z12327276,Modesto Lucero Luna,28,mujer,ESTONIA,NCs4XgLA3R,239,-1
